DishTitle,Ingredients,Instructions,Published,Rating,Reviews
Dale Talde's Chicken Nugs,"1 cup low-fat plain yogurt (not Greek),¼ cup Frank's RedHot sauce,¼ cup Sriracha,2 pounds boneless, skinless chicken breasts, cut into approximately 1½-inch pieces,Vegetable oil (for deep frying),3 cups Asian white rice flour (not sticky rice flour),½ teaspoon kosher salt, plus more for seasoning,½ teaspoon ground black pepper,Chicken Nug Sauce Trio,A deep-fry thermometer","Combine yogurt, Frank's, and Sriracha in a medium mixing bowl and stir well. Add chicken, stir to coat well, cover, and marinate in the fridge for at least 12 hours or up to 2 days (the longer, the better).,Preheat oven to 200°F. Pour enough oil into a large pot to reach a depth of about 3"". Set pot over medium-high heat and bring oil to 325°F (use deep-fry thermometer).,Meanwhile, combine 2 cups rice flour with salt, pepper, and 2 cups water in another medium mixing bowl and stir really well. Put remaining 1 cup rice flour on a large plate. Work with a third of the chicken at a time: Remove chicken from marinade, then add chicken to plate with rice flour and toss to coat in a thin layer. Transfer chicken to batter, toss well, shake gently, then carefully add chicken to oil.,Fry each batch, stirring occasionally, until deep golden brown and crispy, 3–4 minutes. Use a spider to transfer nuggets to a paper towel-lined baking sheet, season immediately with salt, and keep warm in oven.,Break apart nuggets, if necessary. Eat with bowls of sauces for dipping.",September 2015,,
Chicken Nug Sauce Trio,"1 tablespoon vegetable oil,½ cup diced (¼ inch) Spanish onion,2 medium garlic cloves, thinly sliced,1 teaspoon kosher salt,1 cup of your favorite BBQ sauce,1 cup distilled white vinegar,¾ cup ketchup,½ cup firmly packed dark brown sugar,1 tablespoon Worcestershire sauce,1 tablespoon Thai or Vietnamese fish sauce,2 canned chipotle chiles in adobo,½ cup honey,¼ cup Dijon mustard,Any Asian sweet chile sauce, such as the Mae Ploy brand","Heat oil in a small saucepan over medium heat until it shimmers. Add onion, garlic, and salt and cook, stirring occasionally, until garlic smells toasty and onion is soft, about 5 minutes. Add remaining ingredients, increase the heat, and bring mixture to a boil. Reduce heat to maintain a gentle simmer for 15 minutes to let the flavors meld. Let it cool to warm, then transfer to a blender and blend until smooth. Let it cool to room temperature before serving.,Do Ahead:, Sauce keeps in an airtight container in the fridge for up to 2 weeks.,Combine honey and mustard and stir well.",September 2015,,
Italian Plum and Almond Cake,"Nonstick vegetable oil spray,1 cup all-purpose flour,½ cup almond meal,1½ teaspoons baking powder,½ teaspoon kosher salt,½ cup (1 stick) unsalted butter, room temperature,¾ cup granulated sugar,¼ cup brown sugar,2 large eggs,1 teaspoon finely grated orange zest,1 teaspoon vanilla paste or vanilla extract,14 Italian plums, halved, seeded,2 tablespoons demarara sugar,Powdered sugar (for dusting)","Preheat oven to 350°. Generously coat a 10"" cake or springform pan with nonstick spray.,Whisk flour, almond meal, baking powder, and salt in a medium bowl. Using an electric mixer on medium speed, beat butter, granulated sugar, and brown sugar in a large bowl until pale and creamy, about 4 minutes. Add eggs one at a time, mixing well to incorporate after each addition, then add orange zest and vanilla paste and beat until fully incorporated, about 3 minutes. Reduce speed to low and gradually add dry ingredients; beat just until smooth and no lumps remain, about 30 seconds.,Scrape batter into prepared pan and arrange plums, cut side down, on top of batter, taking care not to push the plums into the batter (the batter will rise as it bakes, slightly submerging them). Sprinkle demarara sugar over and bake cake until top is golden brown, plums are very soft, and a tester inserted into the center comes out clean, 50–60 minutes. Transfer to a wire rack and let cake cool in pan at least 30 minutes. Run a sharp knife around sides of pan to loosen cake. Carefully invert cake onto a rimmed baking sheet, then invert again onto a platter or cake stand. Dust with powdered sugar just before serving.,Do Ahead:, Cake can be made 8 hours ahead. Cover tightly and let stand at room temperature.",September 2015,4,"This cake is brilliant and plum season is RIGHT NOW! Go make it! It also freezes well so you can enjoy it all year long - I’m making TWO this year bc I was so sad last year when I ran out ,Good"
Shelled Bean and Swiss Chard Panzanella,"1 pound fresh shelled beans (such as Calypso, Cranberry, or Jacob’s Cattle),¼ celery root (celeriac), peeled, cut into large pieces,2 large carrots, peeled, halved crosswise,1 large leek, split lengthwise,2 shallots, peeled,2 garlic cloves, smashed,2 bay leaves,2 sprigs thyme,3 tablespoons kosher salt, plus more,½ small loaf country bread, crusts removed, torn into 1–1½-inch pieces (about 6 cups),¾ cup olive oil, divided,Kosher salt,1 red Thai chile, finely chopped,1 small garlic clove, finely grated,½ cup apple cider vinegar,10 cups red Swiss chard, stemmed, torn into 2-inch pieces (from about 2 bunches),8 breakfast radishes, trimmed, thinly sliced lengthwise on a mandoline,1 shallot, peeled, thinly sliced into rings","Combine beans, celery root, carrots, leek, shallots, garlic, bay leaves, thyme, 3 Tbsp. salt, and 6 cups water in a medium pot. Cover and bring to a boil over medium heat, then lower heat and simmer until beans are tender, 15–45 minutes (fresher beans will cook faster; drier beans will take longer). Season with salt and let beans cool in liquid, about 1 hour.,Do Ahead:, Beans can be made up to 1 week ahead. Cover and chill.,Preheat oven to 425°. Toss bread with ¼ cup oil on a rimmed baking sheet; season with salt. Bake until golden brown, 15–20 minutes.,Meanwhile, whisk chile, garlic, vinegar, 1 tsp. salt, and remaining ½ cup oil in a small bowl.,Drain beans and carrots; pick out and discard other ingredients. Cut carrots diagonally into 2"" pieces. Toss beans and chard with ½ cup dressing in a large bowl, then divide among plates. Top salad with radishes, shallot, carrots, croutons, and more dressing.",September 2015,,
Herbed Fresh Pasta with Market Tomatoes and Peppers,"1 cup cup plus 2 tablespoons semolina flour, plus more for dusting,1 cup all-purpose flour, plus more for dusting,3 large eggs,2 cups (packed) purple or green basil leaves or parsley leaves with tender stems,Kosher salt,2 pounds plum tomatoes, quartered,2 large red sweet peppers (such as Hungarian) or 1 large red bell pepper, halved lengthwise, seeded,3 garlic cloves, finely grated, divided,½ cup olive oil, divided,Kosher salt, freshly ground pepper,2 cups mixed cherry tomatoes, halved,Purple or green basil leaves or parsley leaves with tender stems, torn (for serving),Finely grated Parmesan (for serving)","Combine 1 cup plus 2 Tbsp. semolina flour and 1 cup all-purpose flour in a large bowl. Purée eggs, basil, and 1 tsp. salt in a blender on medium-high speed, scraping down sides as necessary, until mixture is smooth, about 30 seconds. Scrape basil mixture into flour mixture and stir with a fork until dough just comes together. Turn out onto a work surface lightly dusted with all-purpose flour and knead until smooth and elastic, 8–10 minutes (alternatively, use a stand mixer fitted with a dough hook and beat on medium-low speed, about 8 minutes). Shape into a 6"" log and wrap tightly in plastic wrap; let sit 1 hour at room temperature.,Cut dough into 6 equal pieces. Working with one piece at a time, lightly dust both sides with all-purpose flour and roll into a thin 5½x20"" rectangle (you should be able to see the shadow of your hand pass behind the sheet of pasta; alternatively, use a pasta machine). Dust both sides of dough with semolina flour and loosely roll into a cylinder. Using a sharp knife, trim edges and discard. Cut dough into 1½""-wide slices. Unfurl noodles, dust with semolina flour, and gently toss to separate. Place on a rimmed baking sheet and cover with a clean kitchen towel.,Do Ahead:, Pasta dough can be made 1 day ahead. Wrap tightly and chill.,Preheat oven to 425°. Toss plum tomatoes, peppers, 2 garlic cloves, and ¼ cup oil on a rimmed baking sheet. Arrange tomatoes and peppers in a single layer, skin side down; season with salt and pepper. Roast until browned around the edges, 35–45 minutes. Let sit until cool enough to handle, then slip off skins. Transfer tomatoes and peppers to a large bowl and mash into medium-size pieces using a potato masher. Set aside.,Combine cherry tomatoes, 2 Tbsp. oil, and remaining garlic clove in a small bowl. Season with salt and pepper and let sit at room temperature 30 minutes.,Meanwhile, cook pasta in a large pot of boiling salted water, stirring occasionally, until al dente, about 4 minutes. Drain, reserving 1 cup pasta cooking liquid.,Toss pasta with tomato and pepper mixture, adding ⅓ cup pasta cooking liquid and remaining 2 Tbsp. oil to keep pasta from sticking; add more pasta cooking liquid if necessary. Divide pasta among plates, then top with cherry tomato mixture and any accumulated juices, basil, and Parmesan.",September 2015,,
Summer Squash Frittata with Herbs,"2 medium zucchini or other summer squash, coarsely grated,2 tablespoons olive oil, divided,1 small yellow onion, thinly sliced,2 garlic cloves, thinly sliced,Kosher salt, freshly ground pepper,1 tablespoon unsalted butter,12 large eggs, beaten to blend,⅓ cup crème fraîche or sour cream,¼ cup ricotta,2 tablespoons finely grated Parmesan,1½ cups (packed) mixed fresh tender herbs, such as basil, chives, parsley, and tarragon,2 teaspoons finely grated lemon zest,1 tablespoon fresh lemon juice,Crushed red pepper flakes (optional; for serving)","Preheat oven to 350°. Using your hands and working in batches, squeeze excess liquid out of zucchini (this is key to avoid a soggy frittata—do your best).,Heat 1 Tbsp. oil in an 8"" or 10"" cast-iron skillet over medium-high. Add onion and garlic, season with salt and pepper, and cook, stirring occasionally, until onion is softened and beginning to brown, 5–8 minutes. Add zucchini and season with salt and pepper. Cook, stirring occasionally, until zucchini is cooked through and beginning to brown (mixture will look quite dry at this point), 5–8 minutes. Reduce heat to medium-low and stir in butter until melted.,Whisk eggs and crème fraîche in a large bowl and season with salt and pepper; pour over vegetables. Cook, stirring egg mixture and swirling pan frequently (be sure to scrape down the sides as well), until edges are just set (the texture of a very soft scramble), about 5 minutes. Dollop with ricotta and sprinkle with Parmesan. Transfer skillet to oven and bake eggs until puffed slightly and the center is set, 12–15 minutes. Let frittata cool in pan at least 10 minutes.,Meanwhile, combine herbs, lemon zest, lemon juice, and remaining 1 Tbsp. oil in a small bowl. Season herb salad with salt and pepper and arrange over fritatta. Top with red pepper flakes, if using, and slice into wedges before serving.",September 2015,,
Real Pumpkin Spice Latte,"2 3-inch cinnamon sticks,1 ½-inch piece fresh ginger,3 whole cloves,1 cup canned pumpkin purée,1 14-ounce can sweetened condensed milk,½ cup heavy cream,¼ cup pure maple syrup,Large pinch of kosher salt,½ teaspoon vanilla extract,¼ teaspoon freshly grated nutmeg,Espresso, steamed milk, and ground cinnamon (for serving)","Combine cinnamon sticks, ginger, cloves, and 1½ cups water in a medium saucepan. Bring to a boil over medium-high heat and cook, whisking occasionally, until most of the liquid has evaporated, about 10 minutes. Whisk in pumpkin purée, condensed milk, cream, syrup, and salt and cook, whisking frequently, until mixture is thick and pudding-like in consistency, about 5 minutes. Whisk in vanilla and nutmeg, then strain mixture through a fine-mesh sieve, pressing on solids with a spatula to release as much liquid as possible, into a large bowl.,For each latte, stir together 2–4 Tbsp. pumpkin spice purée (depending how sweet you’d like it) and 1½ oz. hot espresso in your favorite mug. Top with steamed milk and a little bit of freshly grated cinnamon.",September 2015,5,
The BA Smash Burger,"Vegetable oil (for pan),1 pound ground beef chuck (20% fat),Kosher salt,4 slices American cheese,4 potato rolls, toasted,Ketchup, mayonnaise, shredded iceberg lettuce, and dill pickle slices (for serving)","Heat a cast-iron griddle or large heavy skillet over medium-high until very hot, about 2 minutes, then lightly brush with vegetable oil. Divide ground beef into 4 equal portions (do not form patties).,Working in batches if needed, place portions on griddle and smash flat with a spatula to form 4""-diameter patties (craggy edges are your friend). Season liberally with salt and cook, undisturbed, until outer edges are brown, about 2 minutes. Flip patties, season with salt, and place a slice of cheese on top of each patty. Cook until cheese droops and burgers are medium-rare, about 1 minute.,Serve patties on rolls with ketchup, mayonnaise, lettuce, and pickles.",October 2015,4.63,"Simple, quick and delicious. I used swiss cheese instead of american and homemade english muffin instead of potato rolls as those were all I had. I've got my friends trying this recipe out and they cant believe how awfully delicious it is for an unbelievably simple recipe.  ,  Great method and great flavor.  Think this is how my mom always made burgers.  Enjoyed these with Utah fry sauce:  1 c mayo, 1/2 c ketchup, 3-4 tsp dill pickle juice, onion powder if you like.  
Normally my husband won't eat American cheese but likes it on these. 
Thank you. Keeping this in the weeknight rotation. ,Great! Super easy. I used plain ground beef and a nonstick skillet on the stove. Dealing with such a hot griddle indoors is a little tricky, but the burgers turned out great and my fam was happy. I definitely think american cheese is a necessity for that perfect 'almost fast food' taste. I dont think anything else can parallel the melty-creamy texture and taste of american. 
These things cook fast, so don't overestimate their cooking time. If you stack them as they finish theyll keep eachother warm and cook a little longer, if you're worried about undercooking. 
Tl;dr:  fast and delicious. 10/10,This recipe came out great! Although I did make a few changes--added some bacon, BBQ sauce, and some jalapenos. It was very juicy and the brioche bun was fantastic.,Thanks, Carla for the wonderful and entertaining video.  Is there a recipe for the special sauce?  I know you mentioned the ingredients in the video.

Thanks.,Easy, perfect and delicious ,Nagi, Bourdain would disagree with you. From his book Appetites: ""Cheddar or processed American? One must ask oneself constantly what one is willing to sacrifice for presumed 'quality.' American cheese, clearly, is texturally and structurally superior as a binding agent—and has the added force of tradition on its side. Lettuce? I’m not a fan. I’ll have my salad on the side. But I understand the desire for crunch. If you’re putting mesclun or baby arugula on your burger, though, Guantánamo Bay would not be an unreasonable punishment. Use finely shredded iceberg. Or maybe romaine. Period."",While I appreciate the simplicity of the burger itself, I find your opinion on the type of cheese and the fact that you put the absolutely wrong type of lettuce on it troubling. "
Sour Cream Biscuits with Sausage Gravy,"2 teaspoons baking powder,1 teaspoon kosher salt,2 cups all-purpose flour, plus more,½ cup (1 stick) chilled unsalted butter, cut into pieces; plus 2 tablespoons, melted,½ cup sour cream,½ cup whole milk,8 ounces breakfast sausage links, chopped,2 tablespoons unsalted butter,¼ cup all-purpose flour,2½ cups whole milk,Kosher salt, freshly ground pepper,A 2¼-inch-diameter biscuit cutter","Preheat oven to 425°. Whisk baking powder, salt, and 2 cups flour in a large bowl to combine. Using a pastry cutter or your fingers, work chilled butter into dry ingredients until mixture resembles coarse meal. Using a wooden spoon or fork, mix in sour cream and milk until a shaggy dough forms.,Turn out dough onto a lightly floured surface and knead a few times just to bring together. Roll out until ¼"" thick, then fold in half. Roll dough out again until ¼"" thick, then fold in half again. Repeat once more, rolling out to a ¾""-thick round.,Punch out biscuits as close together as possible with cutter. Pat scraps together and punch out more biscuits; repeat until you can’t cut out any more (you should have 12 total). Transfer biscuits to a parchment-lined baking sheet, spacing 1"" apart, and bake, rotating sheet once, until golden brown and baked through, 10–12 minutes. Brush biscuits with melted butter.,Do Ahead:, Dough can be made 1 day ahead. Cover and chill, or freeze up to 1 week.,While biscuits are baking, cook sausage in a medium saucepan over medium heat, stirring occasionally, until cooked through and starting to brown, 5–8 minutes. Transfer to a small bowl with a slotted spoon.,Add butter to drippings in pan and melt over medium. Whisk flour into butter mixture and cook, whisking constantly, until roux is very smooth and starting to bubble, about 2 minutes (don’t let it color; this is a white gravy).,Gradually add milk, whisking until incorporated. Reduce heat to medium-low and cook gravy, still whisking, until thickened, 8–10 minutes. Stir in sausage; season with salt and pepper.,Serve hot biscuits with gravy alongside for spooning over top.",October 2015,3.5,"This turned out to be a huge hit!!  I did not work the dough as much because I didn't want a million layers but oh, my!!,This is my go-to simple biscuit recipe. The gravy is also spot on.  ,These came out like hockey pucks. I followed the recipe exactly. I should have knows this was a poor recipe when it didn't say to chill the cut dough before baking. What a waste."
Crispy Pork Lettuce Wraps with Spicy Cucumbers,"1 12-ounce piece skin-on pork belly (about 4x3½x1¼ inches),Kosher salt, freshly ground pepper,2 tablespoons light brown sugar, divided,4 chiles de árbol,2 star anise pods,2 tablespoons soy sauce,2 Persian or kirby cucumbers, thinly sliced,2 scallions, thinly sliced,½ red chile (such as Fresno or jalapeño), thinly sliced,2 tablespoons unseasoned rice wine vinegar,3 tablespoons gochujang (Korean red pepper paste),3 tablespoons white miso,1 small head of lettuce (such as Little Gem or romaine hearts), torn,½ bunch mint,½ cup kimchi (optional),Gochujang, a mixture of miso and hot chiles, is available at Korean markets and online.","Diagonally score fat side of pork belly, cutting through fat but stopping at flesh and spacing about ¼"" apart. Season pork with salt and pepper and sprinkle with 1 Tbsp. brown sugar. Wrap tightly in plastic wrap and let sit at least 2 hours, or chill up to 2 days.,Preheat oven to 400°. Unwrap pork and place in the smallest baking dish you can. Add chiles de árbol, star anise, soy sauce, remaining 1 Tbsp. brown sugar, and 1¼ cups water. Roast until most of fat has rendered, meat is tender, and top is browned and crisp, 2–2½ hours.,Meanwhile, toss cucumbers, scallions, red chile, and vinegar in a small bowl to combine. Mix gochujang and miso in another small bowl.,Transfer pork to a cutting board; let rest 10 minutes. Pour off pan juices into a measuring glass. Skim fat from surface.,Slice pork into ½"" slices, transfer to a platter, and pour pan juices over. Serve with lettuce for wrapping and cucumber salad, mint, kimchi (if using), and gochujang-miso mixture for topping.,Do Ahead:, Pork can be cooked 2 days ahead. Let cool; cover and chill. Reheat before serving.",October 2015,,
Chocolate Halvah and Dark Cherry Concrete,"1 cup tahini,¼ cup honey,3 tablespoons Dutch-process unsweetened cocoa powder,⅛ teaspoon kosher salt,10 chocolate wafer cookies,1 pint vanilla ice cream, softened at room temperature 15 minutes,1 cup frozen dark sweet cherries, plus more for serving","Blend tahini, honey, cocoa, and salt in a 4-cup measuring glass with an immersion blender, moving up and down and side to side, until mixture is thick (like peanut butter) and no streaks of honey or cocoa remain, about 2 minutes. Transfer chocolate halvah to a bowl.,Layer cookies, ice cream, and cherries (in that order) in a clean 4-cup measuring glass and top with ⅓ cup chocolate halvah. Blend with immersion blender on high speed, pushing down from top to bottom in one continuous pass. Turn motor off and lift out blender; repeat, blending from top to bottom, until concrete is partially blended and chunky (there should be pockets of unblended ice cream, halvah, and whole cherries visible), about 2 more times.,Divide concrete among four 8-oz. glasses and top each with a cherry.,Do Ahead:, Chocolate halvah can be made 1 month ahead. Cover and chill.",October 2015,,
"""Burnt"" Carrots and Parsnips","1½ pounds carrots, peeled, halved lengthwise, cut into 4-inch pieces,1½ pounds parsnips, peeled, cut into 4-inch pieces,2 tablespoons olive oil,Kosher salt, freshly ground pepper,¼ medium onion, finely chopped,4 tablespoons unsalted butter, cut into pieces,¼ cup bourbon,3 tablespoons dark brown sugar","Preheat oven to 450°. Toss carrots, parsnips, and oil on a rimmed baking sheet; season with salt and pepper. Roast, tossing occasionally, until tender and charred in spots, 20–25 minutes.,Remove vegetables from oven, add onion, butter, bourbon, and brown sugar, and toss to coat. Roast, tossing occasionally, until sugars have caramelized and vegetables are completely softened, 8–10 minutes.,Transfer vegetables to a platter and pour any juices over.",October 2015,5,
Rib Eye with Bone Marrow and Radish Salad,"1 2-pound bone-in rib eye, about 2 inches thick,Kosher salt, freshly ground pepper,2 tablespoons vegetable oil,2 tablespoons unsalted butter,4 oil-packed anchovy fillets, finely chopped,2 tablespoons coarsely chopped drained capers,1 tablespoon olive oil,1 6–8-inch piece marrow bone, split lengthwise,6 radishes, preferably with tops,½ cup celery leaves or 2 celery stalks, thinly sliced,¼ cup parsley leaves,1 tablespoon (or more) fresh lemon juice,Flaky sea salt (for serving),Slices of country-style bread, toasted (for serving)","Season steak with kosher salt and pepper. Let sit at room temperature 2 hours, or chill up to 12 hours.,Preheat oven to 300°. Heat vegetable oil in a large ovenproof skillet, preferably cast-iron, over medium-high. Cook steak until deep golden brown, 5–8 minutes per side. Add butter and spoon over steak a few times. Transfer skillet to oven and roast steak until an instant-read thermometer inserted into the thickest part registers 120° for rare, 5–8 minutes. Transfer steak to a cutting board and let rest. Increase oven temperature to 425°.,Combine anchovies, capers, and olive oil in a small bowl; season with kosher salt and pepper. Spread half of anchovy mixture onto cut sides of marrow bone. Roast bone on a rimmed baking sheet until top is browned and marrow is tender, 10–12 minutes.,Meanwhile, cut half of the radishes into quarters (leave the tops on, if using); trim and thinly slice remaining radishes crosswise. Toss radishes, celery leaves, parsley, lemon juice, and remaining anchovy mixture in a medium bowl. Season radish salad with kosher salt, pepper, and more lemon juice, if desired.,Cut steak off bone and slice ½"" thick. Transfer meat to a platter, pour pan juices over, and sprinkle with sea salt. Serve alongside marrow bone, radish salad, and toast.",October 2015,,
Hardy Greens with Lemon-Garlic Vinaigrette,"2 garlic cloves, finely grated,½ cup olive oil,1 tablespoon finely grated lemon zest,⅓ cup fresh lemon juice,1 tablespoon honey,Kosher salt, freshly ground pepper,4 cups torn collard greens,4 cups torn turnip greens, beet greens, and/or kale,¾ cup dried cranberries, divided","Whisk garlic, oil, lemon zest, lemon juice, and honey in a large bowl; season vinaigrette with salt and pepper.,Add collard greens and turnip greens to vinaigrette and toss to coat. Add half of cranberries, season with salt and pepper, and toss again to combine.,Top salad with remaining cranberries just before serving.",October 2015,,
Oven-Roasted Kimchi Chicken,"6 tablespoons unsalted butter, room temperature,⅓ cup kimchi plus 1 tablespoon kimchi juice,¼ teaspoon kosher salt,2 tablespoons coriander seeds,1 teaspoon crushed red pepper flakes,1 teaspoon finely grated lemon zest,½ teaspoon black peppercorns,¼ teaspoon cumin seeds,4 teaspoons kosher salt, plus more,1 3½–4-pound chicken, backbone removed,1 pound fingerling potatoes,4 ounces thick-cut bacon, cut into 1-inch pieces,2 ears of corn, husked, cut crosswise into 3-inch pieces,A spice mill or a mortar and pestle","Pulse butter, kimchi and kimchi juice, and salt in a food processor, scraping down sides as needed, until kimchi is finely chopped and fully incorporated into butter. Cover and store at room temperature.,Do Ahead:, Kimchi butter can be made 3 days ahead. Chill.,Grind coriander seeds, red pepper flakes, lemon zest, black peppercorns, cumin seeds, and 4 tsp. salt in a spice mill or with a mortar and pestle until very finely ground.,Place chicken, skin side up, on a rimmed baking sheet. Using the heel of your hands, press firmly on breastbone to flatten. Season chicken on both sides with ¼ cup spice mixture, patting to adhere. Chill, uncovered, 3–8 hours.,Boil potatoes in salted water until just tender, 15–20 minutes. Remove from heat and let sit uncovered until ready to use (up to 5 hours).,Preheat oven to 550° (or maximum setting). Place chicken on a foil-lined rimmed baking sheet, leaving wings untucked. Place half of the kimchi butter in small pieces over the chicken and roast until browned but not fully cooked, 20–25 minutes. Arrange bacon, potatoes, and corn around chicken; sprinkle with reserved spice mixture. Roast until an instant-read thermometer inserted into the thickest part of the thigh registers 165°, 10–15 minutes. Transfer to a cutting board and let chicken rest 10 minutes before carving.,Transfer bacon and vegetables to a large bowl and add remaining kimchi butter; toss to melt butter and coat vegetables. Serve alongside chicken.",October 2015,,
Sunset Strip,"1 tablespoon simple syrup,2 teaspoons fresh lime juice,2 teaspoons fresh or bottled yuzu juice,1¾ ounces Ron Zacapa 23,1 dried lime wheel or lime twist","Vigorously shake simple syrup, lime juice, yuzu juice, and Ron Zacapa in an ice-filled cocktail shaker until outside of shaker is very cold, 20 seconds. Place a globe ice cube in a martini glass; strain cocktail through a Hawthorne strainer or a large slotted spoon into glass. Garnish with lime wheel.",October 2015,,
Buttery Cayenne Pecans,"6 tablespoons unsalted butter, melted,2 teaspoons Worcestershire sauce,1¼ teaspoon kosher salt,½ teaspoon garlic powder,½ teaspoon mustard powder,½ teaspoon hot sauce,¼ teaspoon cayenne pepper,4 cups pecans (about 1 pound)","Preheat oven to 300°. Whisk butter, Worcestershire sauce, salt, garlic powder, mustard powder, hot sauce, and cayenne in a medium bowl. Add pecans and toss to coat. Spread out in a single layer in a large cast-iron skillet or on a rimmed baking sheet and roast, tossing occasionally, until pecans are well toasted and spices are fragrant, 25–30 minutes. These are pretty great served warm, or let cool.,Do Ahead:, Pecans can be made 2 days ahead. Store tightly wrapped at room temperature.",October 2015,5,
Kuri Squash Falafel,"8 ounces dried chickpeas, soaked overnight, drained,¼ small red kuri squash or sugar pumpkin (about 6 ounces), peeled, seeded, coarsely chopped (about 1½ cups),½ onion, coarsely chopped,1 garlic clove, crushed,3 tablespoons chickpea flour,2 tablespoons ras-el-hanout,2½ teaspoons kosher salt,1 teaspoon baking powder,½ teaspoon freshly ground black pepper,½ teaspoon ground cinnamon,Vegetable oil (for frying; about 8 cups),Shredded Cabbage Salad with Pomegranate and Tomatoes,Spiced Green Tahini Sauce,Warm thick pita with pockets (for serving),A deep-fry thermometer","Pulse chickpeas in a food processor, scraping down sides as needed, until they resemble finely chopped nuts (the texture should be uneven with some slightly larger pieces of chickpeas mixed throughout), about 1 minute. Scrape into a large bowl.,Pulse squash, onion, and garlic in food processor, scraping down sides as needed, until coarsely chopped, about 1 minute. Mix into chickpeas, then mix in chickpea flour, ras-el-hanout, salt, baking powder, pepper, and cinnamon. Form into ping-pong–size balls.,Pour oil into a large heavy pot to a depth of 3"". Fit pot with thermometer and heat oil over medium-high until thermometer registers 330°. Working in batches, cook falafel, turning occasionally, until deep brown and crisp, about 5 minutes. Transfer to paper towels to drain and let sit 5 minutes.,Serve falafel with salad, tahini sauce, and pita.,Do Ahead:, Falafel mixture can be made 5 hours ahead. Keep tightly covered at room temperature. When ready to fry, stir to loosen mixture and form into balls.",October 2015,,
Roasted-Jalapeño Pimiento Cheese Toasts,"1 red bell pepper,1 jalapeño,¾ cup mayonnaise,1½ teaspoons Worcestershire sauce,¼ teaspoon cayenne pepper,⅛ teaspoon paprika,1 pound sharp cheddar, grated,Kosher salt, freshly ground pepper,1 ciabatta loaf, halved lengthwise, lightly toasted,Pickle slices (for serving)","Roast bell pepper and jalapeño over a gas flame, turning often, until skin is blistered and charred all over, 5–10 minutes. (Alternatively, broil on a rimmed baking sheet.) Transfer to a medium bowl and cover with plastic wrap; let steam 10 minutes.,Peel and seed peppers, then finely chop. Mix mayonnaise, Worcestershire sauce, cayenne, and paprika in a medium bowl. Fold in cheddar and chopped peppers; season with salt and black pepper. Spread on ciabatta and slice crosswise into pieces. Serve with pickles.,Do Ahead:, Pimiento cheese can be made 5 days ahead. Cover and chill.",October 2015,,
Mushroom and Burrata Lasagnette,"3 tablespoons unsalted butter, divided,3 tablespoons olive oil, divided, plus more for brushing,1½ pounds mixed mushrooms (such as chanterelle, crimini, and maitake), cut into bite-size pieces,Kosher salt, freshly ground pepper,1 large shallot, finely chopped,⅓ cup dry white wine,1 cup ricotta,¼ cup heavy cream,6 fresh pasta sheets (about 7x5 inches) or 12 dried lasagna noodles,8 ounces burrata or fresh mozzarella, torn into large pieces,1½ ounces Parmesan, finely grated,6 teaspoons marjoram leaves,½ bunch Tuscan kale, ribs and stems removed, leaves torn,1 tablespoon white wine vinegar","Preheat oven to 425°. Heat 1 Tbsp. butter and 1 Tbsp. oil in a large skillet over medium-high. Add half of mushrooms, season with salt and pepper, and cook, stirring occasionally, until browned and starting to crisp, 8–10 minutes. Transfer to a medium bowl. Repeat with 1 Tbsp. butter, 1 Tbsp. oil, and remaining mushrooms. Return all mushrooms to skillet (reserve bowl) and add shallot, wine, and remaining 1 Tbsp. butter. Cook, stirring occasionally, until skillet is dry, about 5 minutes. Return mushrooms to bowl.,Combine ricotta and cream in a small bowl; season with salt and pepper.,Working in batches, cook pasta in a large pot of boiling salted water, stirring occasionally, until just softened, about 30 seconds. (If using dried noodles, cook until al dente.) Transfer noodles to a large rimmed baking sheet as you go, brushing with oil and overlapping as needed.,Spread a thin layer of ricotta mixture in a small baking dish and top with a pasta sheet (if using dried, use 2 noodles side by side). Spread a large spoonful of ricotta mixture over pasta, scatter some mushrooms over, then a few pieces of burrata. Top evenly with some Parmesan and 1 tsp. marjoram leaves. Repeat layering process (starting with noodles and ending with marjoram) 5 more times; finish with the last of the Parmesan and a grind or two of pepper.,Cover lasagnette with foil and bake until warmed through, 10–15 minutes. Remove foil and continue baking until golden brown, 15–20 minutes. Let cool at least 5 minutes.,Meanwhile, toss kale in a large bowl with vinegar and remaining 1 Tbsp. oil to coat and massage leaves just to soften slightly; season with salt and pepper.,Serve lasagnette with kale alongside.,Do Ahead:, Lasagnette can be assembled 1 day ahead. Cover and chill.",October 2015,2.26,"YOU LOST ME AT KALE,This is a fantastic dish.  It makes enough to feed three of us.  It is very rich and very satisfying.  Plus is there anything better than burrata to play with!  Make sure to the kale salad - the crispness of the kale plus the acidic dressing are a perfect counterpart to the richness of the lasagnette."
Backwoods Bourbon Punch,"6 ounces bourbon,3 ounces fresh grapefruit juice,2 ounces sweet vermouth,1⅓ ounces grenadine,Lemon twists (for serving),Maraschino cherries (for serving)","Combine bourbon, grapefruit juice, vermouth, and grenadine in a cocktail shaker filled with ice and shake vigorously until outside of shaker is frosty, about 20 seconds. Strain into ice-filled rocks glasses. Garnish each with a lemon twist and a cherry.",October 2015,,
