DishTitle,Ingredient
Broiled Salmon with Scallions and Sesame,2 teaspoons honey
Broiled Salmon with Scallions and Sesame,1 tablespoon plus 2 teaspoons vegetable oil
Broiled Salmon with Scallions and Sesame,"½ teaspoon sesame seeds, plus more for serving"
Broiled Salmon with Scallions and Sesame,3 8-ounce skin-on center-cut salmon fillets
Broiled Salmon with Scallions and Sesame,Kosher salt
Broiled Salmon with Scallions and Sesame,1 bunch scallions
Broiled Salmon with Scallions and Sesame,"1 Fresno chile, thinly sliced"
Chicken Piccata,"2 large skinless, boneless chicken breasts"
Chicken Piccata,Kosher salt
Chicken Piccata,½ cup all-purpose flour
Chicken Piccata,"3 Tbsp. extra-virgin olive oil, divided"
Chicken Piccata,"4 garlic cloves, smashed"
Chicken Piccata,⅓ cup dry white wine
Chicken Piccata,"1 Tbsp. drained capers, coarsely chopped"
Chicken Piccata,"4 Tbsp. unsalted butter, cut into pieces"
Chicken Piccata,2 Tbsp. fresh lemon juice
Chicken Piccata,Chopped parsley and lemon wedges (for serving)
Pork and Asparagus Stir-Fry,"3 tsp. peanut or vegetable oil, divided"
Pork and Asparagus Stir-Fry,"2 lb. asparagus, trimmed, cut on a diagonal into 1""–2"" pieces"
Pork and Asparagus Stir-Fry,8 oz. ground pork
Pork and Asparagus Stir-Fry,"6 scallions, white and pale green parts only, finely chopped"
Pork and Asparagus Stir-Fry,"5 garlic cloves, finely chopped"
Pork and Asparagus Stir-Fry,"1 2"" piece ginger, peeled, finely chopped"
Pork and Asparagus Stir-Fry,2 Tbsp. Shaoxing wine (Chinese rice wine) or medium-dry sherry
Pork and Asparagus Stir-Fry,2 Tbsp. soy sauce
Pork and Asparagus Stir-Fry,1 tsp. toasted sesame oil
Pantry Pasta,"2 tablespoons olive oil, plus more for drizzling"
Pantry Pasta,"8 ounces sweet Italian sausage, casings removed"
Pantry Pasta,"½ medium red onion, finely chopped"
Pantry Pasta,"¼ cup torn pitted olives, preferably Castelvetrano"
Pantry Pasta,1 14-ounce can cherry tomatoes
Pantry Pasta,12 ounces spaghetti
Pantry Pasta,Kosher salt
Pantry Pasta,"¼ cup peperoncini, thinly sliced"
Pantry Pasta,"2 ounces Pecorino or Parmesan, finely grated, divided"
Pantry Pasta,2 tablespoons unsalted butter
Pantry Pasta,½ cup torn basil
Pounded Flank Steak with Zucchini Salsa,"1½ pounds zucchini, cut into ¼-inch pieces (about 5 cups)"
Pounded Flank Steak with Zucchini Salsa,½ cup red wine vinegar
Pounded Flank Steak with Zucchini Salsa,"1 tablespoon coarsely chopped oregano, plus leaves for serving"
Pounded Flank Steak with Zucchini Salsa,"¼ cup olive oil, plus more for steak"
Pounded Flank Steak with Zucchini Salsa,"Kosher salt, freshly ground pepper"
Pounded Flank Steak with Zucchini Salsa,1 1½-pound piece flank steak
Soy and Ginger Steamed Fish,2 6–8-oz. skinless black bass fillets
Soy and Ginger Steamed Fish,Kosher salt
Soy and Ginger Steamed Fish,"1 4x3"" piece dried kombu (optional)"
Soy and Ginger Steamed Fish,2 Tbsp. sake
Soy and Ginger Steamed Fish,2 Tbsp. soy sauce
Soy and Ginger Steamed Fish,1 Tbsp. mirin (sweet Japanese rice wine)
Soy and Ginger Steamed Fish,"¼ large or ½ medium head of Napa cabbage, stems thinly sliced crosswise, leaves torn if large (about 5 cups)"
Soy and Ginger Steamed Fish,"4 oz. mixed mushrooms (such as shiitake, oyster, beech, and/or maitake), torn into pieces"
Soy and Ginger Steamed Fish,"1 2"" piece ginger, peeled, cut into thin matchsticks"
Soy and Ginger Steamed Fish,1 Tbsp. toasted sesame oil
Soy and Ginger Steamed Fish,"2 scallions, thinly sliced"
Soy and Ginger Steamed Fish,Cooked rice (for serving)
"Rice with Parsley, Almonds, and Apricots",1 cup skin-on almonds
"Rice with Parsley, Almonds, and Apricots",1 tablespoon olive oil
"Rice with Parsley, Almonds, and Apricots",Kosher salt
"Rice with Parsley, Almonds, and Apricots",1 cup basmati rice
"Rice with Parsley, Almonds, and Apricots",1 3x1-inch strip lemon zest
"Rice with Parsley, Almonds, and Apricots",⅓ cup chopped dried apricots
"Rice with Parsley, Almonds, and Apricots",2 cups chopped parsley
"Rice with Parsley, Almonds, and Apricots",1 tablespoon fresh lemon juice
15-Minute Chicken Paillards with Red Cabbage and Onion Slaw,"2 large skinless, boneless chicken breasts (about 8 ounces each)"
15-Minute Chicken Paillards with Red Cabbage and Onion Slaw,"Kosher salt, freshly ground pepper"
15-Minute Chicken Paillards with Red Cabbage and Onion Slaw,"5 tablespoons olive oil, divided"
15-Minute Chicken Paillards with Red Cabbage and Onion Slaw,"½ small head of cabbage, very thinly sliced (about 4 cups)"
15-Minute Chicken Paillards with Red Cabbage and Onion Slaw,"½ small red onion, very thinly sliced"
15-Minute Chicken Paillards with Red Cabbage and Onion Slaw,½ teaspoon crushed red pepper flakes
15-Minute Chicken Paillards with Red Cabbage and Onion Slaw,2 tablespoons red wine vinegar
Tomato-Braised Rotisserie Chicken,2 tsp. extra-virgin olive oil
Tomato-Braised Rotisserie Chicken,"4 oz. bacon (about 4 slices), sliced crosswise ¼"" thick"
Tomato-Braised Rotisserie Chicken,"2 shallots, thinly sliced"
Tomato-Braised Rotisserie Chicken,⅓ cup dry white wine
Tomato-Braised Rotisserie Chicken,"2 garlic cloves, finely chopped"
Tomato-Braised Rotisserie Chicken,2 tsp. finely chopped rosemary
Tomato-Braised Rotisserie Chicken,1 14.5-oz. can diced tomatoes
Tomato-Braised Rotisserie Chicken,1 cup low-sodium chicken broth
Tomato-Braised Rotisserie Chicken,½ tsp. kosher salt
Tomato-Braised Rotisserie Chicken,¼ tsp. crushed red pepper flakes
Tomato-Braised Rotisserie Chicken,"1 2½-lb. rotisserie chicken, cut into 8 pieces"
Tomato-Braised Rotisserie Chicken,"1 bunch curly kale, ribs and stems removed, leaves torn into bite-size pieces"
Soy-Ginger Dinner Scramble,"3 small Persian cucumbers, very thinly sliced"
Soy-Ginger Dinner Scramble,Kosher salt
Soy-Ginger Dinner Scramble,2 Tbsp. unseasoned rice vinegar
Soy-Ginger Dinner Scramble,1 tsp. honey
Soy-Ginger Dinner Scramble,1 Tbsp. ghee or unsalted butter
Soy-Ginger Dinner Scramble,4 large eggs
Soy-Ginger Dinner Scramble,2 tsp. mirin (optional)
Soy-Ginger Dinner Scramble,1 tsp. finely grated peeled ginger
Soy-Ginger Dinner Scramble,1 tsp. white or regular soy sauce
Soy-Ginger Dinner Scramble,"Steamed white rice, toasted sesame seeds, and sliced scallions (for serving)"
Gochujang-Marinated Skirt Steak,"3 tablespoons gochujang (Korean hot pepper paste), plus more for serving"
Gochujang-Marinated Skirt Steak,"3 tablespoons olive oil, plus more for grill"
Gochujang-Marinated Skirt Steak,3 tablespoons plus ½ cup seasoned rice vinegar
Gochujang-Marinated Skirt Steak,Kosher salt
Gochujang-Marinated Skirt Steak,"1 medium red onion, halved through root end"
Gochujang-Marinated Skirt Steak,"1 skirt steak (about 1 pound), halved crosswise"
Gochujang-Marinated Skirt Steak,Warm tortillas (for serving)
One-Skillet Chicken with Buttery Orzo,"Kosher salt, freshly ground pepper"
One-Skillet Chicken with Buttery Orzo,"6 skin-on, bone-in chicken thighs (about 2 pounds total), patted dry"
One-Skillet Chicken with Buttery Orzo,"3 tablespoons unsalted butter, divided"
One-Skillet Chicken with Buttery Orzo,"1 fennel bulb, chopped, plus fronds, chopped"
One-Skillet Chicken with Buttery Orzo,"1 leek, white and pale green parts only, chopped"
One-Skillet Chicken with Buttery Orzo,8 ounces orzo
One-Skillet Chicken with Buttery Orzo,⅓ cup dry white wine
One-Skillet Chicken with Buttery Orzo,"2½ cups low-sodium chicken broth, divided"
One-Skillet Chicken with Buttery Orzo,1 tablespoon fresh lemon juice
One-Skillet Chicken with Buttery Orzo,1 teaspoon finely grated lemon zest
Spicy Lamb and Lentils with Herbs,1 tablespoon vegetable oil
Spicy Lamb and Lentils with Herbs,½ pound ground lamb
Spicy Lamb and Lentils with Herbs,Kosher salt and freshly ground black pepper
Spicy Lamb and Lentils with Herbs,"2 garlic cloves, thinly sliced"
Spicy Lamb and Lentils with Herbs,1 teaspoon crushed red pepper flakes
Spicy Lamb and Lentils with Herbs,½ teaspoon cumin seeds
Spicy Lamb and Lentils with Herbs,1½ cups cooked brown or French green lentils (from 1 cup dried)
Spicy Lamb and Lentils with Herbs,"½ English hothouse cucumber, chopped"
Spicy Lamb and Lentils with Herbs,"½ cup chopped fresh cilantro, plus leaves for serving"
Spicy Lamb and Lentils with Herbs,"¼ cup chopped fresh parsley, plus leaves for serving"
Spicy Lamb and Lentils with Herbs,¾ cup plain whole-milk Greek yogurt
Spicy Lamb and Lentils with Herbs,Flatbread and lemon wedges (for serving)
Basic Bulgogi,"¼ pear, grated"
Basic Bulgogi,"1 garlic clove, grated"
Basic Bulgogi,2 tablespoons soy sauce
Basic Bulgogi,"1 tablespoon gochugaru (coarse Korean hot pepper flakes), or 1 teaspoon crushed red pepper flakes"
Basic Bulgogi,1 tablespoon grated peeled ginger
Basic Bulgogi,1 tablespoon light brown sugar
Basic Bulgogi,1 tablespoon toasted sesame oil
Basic Bulgogi,"1 pound boneless pork loin, trimmed hanger steak, boneless short rib, or skinless, boneless chicken breasts or thighs"
Basic Bulgogi,"2 tablespoons vegetable oil, divided"
Basic Bulgogi,Kosher salt
Basic Bulgogi,Sliced scallions (for serving)
Rotisserie Chicken Salad with Charred Scallion Dressing,"5 ounces country-style bread, crusts removed, torn into 1-inch pieces"
Rotisserie Chicken Salad with Charred Scallion Dressing,"10 tablespoons extra-virgin olive oil, divided"
Rotisserie Chicken Salad with Charred Scallion Dressing,2 scallions
Rotisserie Chicken Salad with Charred Scallion Dressing,"Kosher salt, freshly ground pepper"
Rotisserie Chicken Salad with Charred Scallion Dressing,2 tablespoons fresh lemon juice
Rotisserie Chicken Salad with Charred Scallion Dressing,2 tablespoons unseasoned rice vinegar
Rotisserie Chicken Salad with Charred Scallion Dressing,1 tablespoon Dijon mustard
Rotisserie Chicken Salad with Charred Scallion Dressing,"1 tablespoon mayonnaise, preferably Hellmann’s (Best Foods)"
Rotisserie Chicken Salad with Charred Scallion Dressing,"1 small rotisserie chicken, meat pulled from bones and shredded"
Rotisserie Chicken Salad with Charred Scallion Dressing,"6 radishes, trimmed, cut into wedges"
Rotisserie Chicken Salad with Charred Scallion Dressing,"1 head of Bibb lettuce, leaves separated"
Rotisserie Chicken Salad with Charred Scallion Dressing,"1 avocado, sliced, divided"
"Baked Snapper with Harissa, New Potatoes, and Spring Onions",6 tablespoons olive oil
"Baked Snapper with Harissa, New Potatoes, and Spring Onions",2 tablespoons harissa paste
"Baked Snapper with Harissa, New Potatoes, and Spring Onions","6 spring onions, halved lengthwise, or 8 scallions (left whole)"
"Baked Snapper with Harissa, New Potatoes, and Spring Onions","1 pound new potatoes or small potatoes, scrubbed, thinly sliced"
"Baked Snapper with Harissa, New Potatoes, and Spring Onions",Kosher salt and freshly ground black pepper
"Baked Snapper with Harissa, New Potatoes, and Spring Onions",1½ pounds skin-on snapper fillets (3–4)
"Baked Snapper with Harissa, New Potatoes, and Spring Onions",Lemon wedges (for serving)
Brown Butter–Basted Steak,"1 1¾""-thick bone-in rib eye (about 1½ lb.)"
Brown Butter–Basted Steak,"Kosher salt, freshly ground pepper"
Brown Butter–Basted Steak,2 tsp. vegetable oil
Brown Butter–Basted Steak,3 Tbsp. unsalted butter
Brown Butter–Basted Steak,2 sprigs rosemary
Brown Butter–Basted Steak,"2 garlic cloves, crushed"
Brown Butter–Basted Steak,Flaky sea salt
